culture_id;CultureRGA;idSeuilRGA;LibelleSeuilRGA;;;;;;;;;;;;;;;;;;
101;Aubergine - Plein air ou abri bas;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
102;Aubergine - Serre ou abri haut;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
103;Carotte;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
104;Céleri;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
105;Champignon;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
106;Chou pommé (vert ou rouge);8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
107;Chou wong bok;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
108;Concombre - Plein air ou abri bas;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
109;Concombre - Serre ou abri haut pleine terre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
110;Concombre - Serre ou abri haut hors sol;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
111;Courgette - Plein air ou abri bas;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
112;Courgette - Serre ou abri haut;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
113;Cresson;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
114;Curcuma;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
115;Epinard;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
116;Gingembre;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
117;Fouka;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
118;Haricot à écosser;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
119;Haricot vert;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
120;Haricot long;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
121;Herbes aromatiques (basilic, menthe, coriandre...);7;Ensemble PPAM, cultures ornementales et pépinières;;;;;;;;;;;;;;;;;;
122;Graines germées (soja, alfala...);8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
123;Laitue ou salade - Plein air ou abri bas;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
124;Laitue ou salade - Serre ou abri haut pleine terre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
125;Laitue ou salade - Serre ou abri haut hors sol;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
126;Laitue ou salade - Plein air hors sol;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
127;Maïs doux;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
128;Melon - plein air;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
129;Melon - serre ou abri haut pleine terre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
130;Melon - serre ou abri haut hors sol;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
131;Navet;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
132;Oignon vert - Plein air ou abri bas;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
133;Oignon vert - Serre ou abri haut pleine terre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
134;Oignon vert - Serre ou abri haut hors sol;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
135;Oignon vert - Plein air hors sol;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
136;Pastèque - plein air;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
137;Pastèque - serre ou abri haut pleine terre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
138;Pastèque - serre ou abri haut hors sol;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
139;Persil;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
140;Piment;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
141;Poireau;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
142;Poivron vert - Plein air ou abri bas;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
143;Poivron vert - Serre ou abri haut pleine terre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
144;Poivron vert - Serre ou abri haut hors sol;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
145;Poivron couleur - Plein air ou abri bas;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
146;Poivron couleur - Serre ou abri haut pleine terre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
147;Poivron couleur - Serre ou abri haut hors sol;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
148;Pomme de terre;3;Pomme de terre et ensemble des racines et tubercules;;;;;;;;;;;;;;;;;;
149;Pota (vert ou blanc) - Plein air ou abri bas;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
150;Pota (vert ou blanc) - Serre ou abri haut pleine terre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
151;Pota (vert ou blanc) - Serre ou abri haut hors sol;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
152;Pota (vert ou blanc) - Plein air hors sol;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
153;Potiron ou autre courge;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
154;Radis;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
155;Soja;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
156;Tomate - Plein air ou abri bas;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
157;Tomate - Serre ou abri haut pleine terre;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
158;Tomate - Serre ou abri haut hors sol;9;Serres et abris hauts;;;;;;;;;;;;;;;;;;
159;Autres;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
201;Banane à cuire hors fei;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
202;Fafa;8;Légumes frais et fraises;;;;;;;;;;;;;;;;;;
203;Fei;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
204;Igname (ufi);3;Pomme de terre et ensemble des racines et tubercules;;;;;;;;;;;;;;;;;;
205;Manioc (maniota);3;Pomme de terre et ensemble des racines et tubercules;;;;;;;;;;;;;;;;;;
206;Patate douce (umara);3;Pomme de terre et ensemble des racines et tubercules;;;;;;;;;;;;;;;;;;
207;Taro (hors Fafa);3;Pomme de terre et ensemble des racines et tubercules;;;;;;;;;;;;;;;;;;
208;Tarua;3;Pomme de terre et ensemble des racines et tubercules;;;;;;;;;;;;;;;;;;
209;Uru;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
210;Autres;3;Pomme de terre et ensemble des racines et tubercules;;;;;;;;;;;;;;;;;;
301;Abiu;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
302;Ananas;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
303;Avocatier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
304;Banane dessert;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
305;Carambolier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
306;Citronnier ou Lime (citron vert);5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
307;Grand cocotier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
308;Cocotier nain;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
309;Cocotier hybride;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
310;Corossolier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
311;Durian;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
312;Figuier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
313;Passiflore (fruit de la passion);5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
314;Goyavier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
315;Litchi;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
316;Longane;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
317;Mandarinier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
318;Mangoustanier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
319;Manguier;5;Cultures fruitières (y compris bananes et ananas);;;;;;;;;;;;;;;;;;
