interview__keyDoublon;idExploitDoublon;numAffectationDoublon;comment;interview__key;idExploit;numAffectation;Valide;TODO
36-71-91-12;C814;25304;;72-61-68-96;C1014;25278;;
83-62-37-07;C1278;23114;;22-40-63-15;C1086;19340;;
81-05-61-23;C359;19553;;22-70-94-26;C1146;20496;;
03-34-91-59;P6674;20531;;77-56-13-86;C1149;20523;non;
79-61-31-00;P7280;22598;;46-82-20-52;C1263;22831;non;
95-14-21-69;C1733;24740;;51-63-10-86;C1359;24739;;
90-55-48-24;C1386;25369;;97-39-66-47;C1385;25378;;
36-81-83-37;C1387;25380;;97-39-66-47;C1385;25378;;
65-64-95-46;C1388;25371;;97-39-66-47;C1385;25378;;
85-60-21-10;C1389;25386;;97-39-66-47;C1385;25378;;
18-48-17-34;C74;19920;;05-55-69-11;C1422;19924;;
99-29-73-06;C189;23230;;43-82-48-50;C1431;20848;;
58-46-17-68;C193;23307;;43-82-48-50;C1431;20848;;
48-30-21-41;C210;23403;;27-43-12-37;C1434;21292;;
08-75-72-21;C1283;23138;;78-51-68-79;C1448;22949;;
92-20-78-32;C56;19480;;25-30-23-25;C1466;23970;;
81-98-35-35;C1440;22116;;01-15-36-43;C1565;19022;;
88-65-24-67;P4330;19149;;21-79-46-72;C1566;19181;non;
42-53-62-59;C768;21185;;84-24-30-92;C1591;21179;;
06-17-96-79;C185;23161;;03-52-20-39;C165;22694;;
45-61-50-92;C982;24735;;03-52-20-39;C165;22694;;
43-67-17-83;C983;24714;;83-56-11-17;C1652;24707;;
75-43-13-37;C516;23146;;29-81-86-11;C17;18650;;
30-18-00-51;C1275;23073;;88-94-50-66;C1716;23083;;
72-20-82-73;C1375;25080;;59-04-66-96;C201;23289;;
25-62-70-46;C1621;23467;;24-47-84-78;C214;23421;;
88-38-00-26;P1491;23859;;14-61-57-31;C236;23872;non;
21-65-83-11;P1771;24883;;15-56-19-29;C267;24969;non;
61-36-55-16;C28;19024;;86-24-40-30;C348;19389;;
43-06-98-61;C349;19411;;32-12-22-20;C350;19425;;
00-26-07-71;C1485;18826;;24-52-72-09;C41;19200;;
67-45-15-28;C486;22623;;92-31-18-26;C43;22617;;
